Link_Apto;Endereco;Bairro;Valor_RS;Andares;Tamanho_m2;Valor_RS/m2;Quartos;Suites;Garagem;Banheiros;Varanda;Mobiliado;Portaria;Metro;id;Refdate;Lat;Long
https://loft.com.br/imovel/apartamento-17-de-janeiro-vila-andrade-sao-paulo-2-quartos-40m2/52nta6;Condomínio Click Morumbi - Rua 17 de Janeiro - Vila Andrade - São Paulo - SP;Vila Andrade;272906;4º andar em diante;40;6822;2;0;1;1;0;Não;24h;100000000;12431;2023-04-17T00:00;-20.3413103;-49.1970982
https://loft.com.br/imovel/apartamento-academia-de-sao-paulo-itaim-paulista-sao-paulo-2-quartos-52m2/19w2z6t;Avenida Academia de São Paulo - Itaim Paulista - São Paulo - SP;Itaim Paulista;245518;3º andar;52;4721;2;1;0;1;0;Não;24h;100000000;12432;2023-04-17T00:00;-23.5017648;-46.3996091
https://loft.com.br/imovel/apartamento-aguiar-de-barros-republica-sao-paulo-2-quartos-65m2/14ls3t8;Condomínio Helbor Art Paulista - Rua Aguiar de Barros - República - São Paulo - SP;República;1380000;4º andar em diante;65;21230;2;1;2;2;0;Não;24h;334;12433;2023-04-17T00:00;-23.545334500000003;-46.64225711835967
https://loft.com.br/imovel/apartamento-alameda-barros-santa-cecilia-sao-paulo-3-quartos-130m2/107ge7d;Condomínio CONJUNTO ANGÉLICA - Alameda Barros - Santa Cecília - São Paulo - SP;Santa Cecília;1100000;Sem info;130;8461;3;1;1;1;0;Não;Sem descrição;410;12434;2023-04-17T00:00;-23.5296595;-46.65189388826502
https://loft.com.br/imovel/apartamento-alameda-barros-santa-cecilia-sao-paulo-3-quartos-278m2/z2dcqk;Condomínio Edificio Inaja - Alameda Barros - Santa Cecília - São Paulo - SP;Santa Cecília;1500000;4º andar em diante;278;5395;3;1;1;3;0;Não;24h;307;12435;2023-04-17T00:00;-23.5296595;-46.65189388826502
https://loft.com.br/imovel/apartamento-alameda-campinas-jardim-paulista-sao-paulo-1-quarto-31m2/2rwxq9;Condomínio Edificio Hampton Park Residence - Alameda Campinas - Jardim Paulista - São Paulo - SP;Jardim Paulista;480000;4º andar em diante;31;15483;1;1;1;1;0;Não;Sem descrição;916;12436;2023-04-17T00:00;-23.5652185;-46.6601846
https://loft.com.br/imovel/apartamento-alameda-campinas-jardim-paulista-sao-paulo-2-quartos-110m2/hva7xx;Condomínio Edificio Cal Service Flat the Pierre - Alameda Campinas - Jardim Paulista - São Paulo - SP;Jardim Paulista;1300000;4º andar em diante;110;11818;2;1;2;2;0;Não;Sem descrição;450;12437;2023-04-17T00:00;-23.5652185;-46.6601846
https://loft.com.br/imovel/apartamento-alameda-dos-anapurus-moema-indios-sao-paulo-4-quartos-361m2/19s8a3q;Condomínio Authentique Moema - Alameda dos Anapurus - Moema Índios - São Paulo - SP;MoemaÍndios;9045000;4º andar em diante;361;25055;4;4;9;6;0;Não;Sem descrição;683;12438;2023-04-17T00:00;0.0;0.0
https://loft.com.br/imovel/apartamento-alameda-dos-arapanes-moema-passaros-sao-paulo-4-quartos-145m2/z9bwd1;Condomínio Pajuçara - Alameda dos Arapanés - Moema Pássaros - São Paulo - SP;Moema Pássaros;1484000;3º andar;145;10234;4;1;1;3;1;Não;Sem descrição;478;12439;2023-04-17T00:00;0.0;0.0
https://loft.com.br/imovel/apartamento-alameda-dos-guaramomis-moema-indios-sao-paulo-3-quartos-112m2/1we3rxf;Condomínio Edificio Primavera - Alameda dos Guaramomis - Moema Índios - São Paulo - SP;MoemaÍndios;1480000;4º andar em diante;112;13214;3;1;2;3;2;Não;Sem descrição;100000000;12440;2023-04-17T00:00;0.0;0.0
