Bairro,Valor médio m²
Vila Mariana,"R$ 10.000,00"
Morumbi,"R$ 6.380,00"
Moema,"R$ 10.910,00"
Saúde,"R$ 8.380,00"
Ipiranga,"R$ 7.800,00"
Campo Belo,"R$ 10.670,00"
Vila Andrade,"R$ 7.250,00"
Chácara Klabin,"R$ 11.030,00"
Aclimação,"R$ 9.120,00"
Brooklin,"R$ 12.040,00"
Interlagos,"R$ 6.020,00"
Vila Olímpia,"R$ 12.210,00"
Itaim Bibi,"R$ 12.480,00"
Santo Amaro,"R$ 8.800,00"
Paraíso,"R$ 9.690,00"
Jabaquara,"R$ 6.890,00"
Campo Limpo,"R$ 4.980,00"
Vila Mariana,"R$ 11.270,00"
Morumbi,"R$ 6.570,00"
Moema,"R$ 11.370,00"
Saúde,"R$ 9.100,00"
Ipiranga,"R$ 8.950,00"
Campo Belo,"R$ 10.570,00"
Vila Andrade,"R$ 7.120,00"
Chácara Klabin,"R$ 10.230,00"
Aclimação,"R$ 9.940,00"
Brooklin,"R$ 12.350,00"
Interlagos,"R$ 6.770,00"
Vila Olímpia,"R$ 10.800,00"
Itaim Bibi,"R$ 14.440,00"
Santo Amaro,"R$ 8.990,00"
Paraíso,"R$ 11.290,00"
Jabaquara,"R$ 7.550,00"
Campo Limpo,"R$ 5.710,00"
Vila Mariana,"R$ 11.430,00"
Morumbi,"R$ 6.410,00"
Moema,"R$ 11.560,00"
Saúde,"R$ 9.230,00"
Ipiranga,"R$ 8.960,00"
Campo Belo,"R$ 10.580,00"
Vila Andrade,"R$ 7.210,00"
Chácara Klabin,"R$ 10.070,00"
Aclimação,"R$ 9.610,00"
Brooklin,"R$ 13.000,00"
Interlagos,"R$ 7.660,00"
Vila Olímpia,"R$ 13.430,00"
Itaim Bibi,"R$ 15.570,00"
Santo Amaro,"R$ 10.000,00"
Paraíso,"R$ 13.020,00"
Jabaquara,"R$ 7.610,00"
Vila Mariana,"R$ 12,630,00"
Morumbi,"R$ 6.670,00"
Moema,"R$ 12.540,00"
Saúde,"R$ 9.590,00"
Ipiranga,"R$ 8.760,00"
Campo Belo,"R$ 11.450,00"
Vila Andrade,"R$ 7.170,00"
Chácara Klabin,"R$ 11.290,00"
Aclimação,"R$ 11.080,00"
Brooklin,"R$ 12.470,00"
Vila Olímpia,"R$ 22.400,00"
Itaim Bibi,"R$ 15.520,00"
Santo Amaro,"R$ 8.350,00"
Paraíso,"R$ 13.570,00"
Vila Mariana,"R$ 10.120,00"
Morumbi,"R$ 6.420,00"
Moema,"R$ 13.330,00"
Saúde,"R$ 8.410,00"
Ipiranga,"R$ 6.810,00"
Campo Belo,"R$ 11.680,00"
Vila Andrade,"R$ 7.150,00"
Chácara Klabin,"R$ 10.870,00"
Aclimação,"R$ 8.130,00"
Brooklin,"R$ 12.720,00"
Interlagos,"R$ 5.680,00"
Vila Olímpia,"R$ 13.420,00"
