Refdate,Link_Apto,Endereco,Bairro,Valor,Andares,Tamanho (m2),Valor (m2),Quartos,Suites,Garagem,Banheiros,Varanda,Mobiliado,Portaria,Metro
17/04/2023,https://loft.com.br/imovel/apartamento-rua-caure-tucuruvi-sao-paulo-2-quartos-50m2/100tsld,Condomínio Vila Verde - Rua Cauré - Tucuruvi - São Paulo - SP,Tucuruvi,325000,3º andar,50,6500,2,0,1,1,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-do-bosque-bom-retiro-sao-paulo-2-quartos-72m2/1014uwp,Condomínio Edificio Palhinha - Rua do Bosque - Bom Retiro - São Paulo - SP,Bom Retiro,479000,4º andar em diante,72,6652,2,0,0,1,0,Não,Sem descrição,885
17/04/2023,https://loft.com.br/imovel/apartamento-rua-jose-maria-lisboa-jardim-america-sao-paulo-3-quartos-137m2/101r6vc,Condomínio Anambé - Rua José Maria Lisboa - Jardim América - São Paulo - SP,Jardim América,1450000,4º andar em diante,137,10583,3,1,0,3,0,Não,Sem descrição,702
17/04/2023,https://loft.com.br/imovel/apartamento-avenida-doutor-cardoso-de-melo-vila-olimpia-sao-paulo-1-quarto-72m2/1024379,Condomínio Maxhaus Vila Olimpia - Avenida Doutor Cardoso de Melo - Vila Olímpia - São Paulo - SP,Vila Olímpia,1400000,4º andar em diante,72,19444,1,1,2,2,1,Não,Sem descrição,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-nunes-garcia-santana-sao-paulo-4-quartos-200m2/102ww3k,Condomínio Conjunto Santana Edificio Solar De Coimbra - Rua Nunes Garcia - Santana - São Paulo - SP,Santana,850000,4º andar em diante,200,4250,4,1,3,4,0,Não,Sem descrição,519
17/04/2023,https://loft.com.br/imovel/apartamento-avenida-marques-de-sao-vicente-barra-funda-sao-paulo-1-quarto-33m2/104iylr,Condomínio Barra Vista - Avenida Marquês de São Vicente - Barra Funda - São Paulo - SP,Barra Funda,358000,4º andar em diante,33,10848,1,0,0,1,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-bartolomeu-feio-brooklin-sao-paulo-2-quartos-67m2/107ffnq,Condomínio Conjunto Residencial Super Star - Rua Bartolomeu Feio - Brooklin - São Paulo - SP,Brooklin,675000,4º andar em diante,67,10074,2,1,1,3,0,Não,Sem descrição,190
17/04/2023,https://loft.com.br/imovel/apartamento-alameda-barros-santa-cecilia-sao-paulo-3-quartos-130m2/107ge7d,Condomínio CONJUNTO ANGÉLICA - Alameda Barros - Santa Cecília - São Paulo - SP,Santa Cecília,1100000,Sem info,130,8461,3,1,1,1,0,Não,Sem descrição,410
17/04/2023,https://loft.com.br/imovel/apartamento-rua-barao-do-serro-largo-agua-rasa-sao-paulo-4-quartos-295m2/10830w4,Condomínio Itapua - Rua Barão do Serro Largo - Água Rasa - São Paulo - SP,Água Rasa,1300000,4º andar em diante,295,4406,4,3,3,3,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-eugenio-de-freitas-vila-guilherme-sao-paulo-3-quartos-63m2/108eu8k,Condomínio Edifício Mosaico Vila Guilherme - Rua Eugênio de Freitas - Vila Guilherme - São Paulo - SP,Vila Guilherme,460000,4º andar em diante,63,7301,3,1,1,2,0,Não,24h,100000000
17/04/2023,https://loft.com.br/imovel/apartamento-rua-alexandre-benois-vila-andrade-sao-paulo-3-quartos-150m2/109z56x,Condomínio Edificio Villa Di Bari - Rua Alexandre Benois - Vila Andrade - São Paulo - SP,Vila Andrade,855000,4º andar em diante,150,5700,3,1,3,3,0,Não,Sem descrição,100000000
